Order;;AccidentType;AccidentType_de;AccidentType_en;types;AccidentSeverityCategory;AccidentSeverityCategory_de;AccidentSeverityCategory_en;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;AccidentInvolvingMotorcycle;RoadType;RoadType_de;RoadType_en;AccidentLocation_CHLV95_E;AccidentLocation_CHLV95_N;CantonCode;MunicipalityCode;AccidentYear;AccidentMonth;AccidentMonth_de;AccidentWeekDay;AccidentWeekDay_de;AccidentHour;AccidentHour_text;;;
2;BC73A4E78E3DFB53E053DDB9D80AB135;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2680032;1249107;ZH;261;2021;2;Februar;aw405;Freitag;11;11h-12h;;;
3;BC73A4E78CB3FB53E053DDB9D80AB135;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as4;Unfall mit Sachschaden;Accident with property damage;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681345;1249915;ZH;261;2021;2;Februar;aw401;Montag;19;19h-20h;;;
1;BDCD9F4EC94B647FE053DDB9D80ADE33;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681431;1247682;ZH;261;2021;2;Februar;aw404;Donnerstag;23;23h-00h;;;
3;BC73A4E78EB2FB53E053DDB9D80AB135;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2684094;1247575;ZH;261;2021;2;Februar;aw405;Freitag;6;06h-07h;;;
1;BD5692CCE2EA8D6EE053DDB9D80A1135;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2680707;1248232;ZH;261;2021;2;Februar;aw406;Samstag;13;13h-14h;;;
1;BD5692CCAF2C8D6EE053DDB9D80A1135;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2683147;1249962;ZH;261;2021;3;März;aw401;Montag;14;14h-15h;;;
1;BD3DF5AD7FB876BEE053DDB9D80A85F2;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681608;1247229;ZH;261;2021;3;März;aw402;Dienstag;22;22h-23h;;;
1;BD15E8A0D2E32B39E053DDB9D80A51C4;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2683787;1246772;ZH;261;2021;3;März;aw402;Dienstag;7;07h-08h;;;
2;C0EF39E3B8F90025E053DDB9D80AC4C3;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2687028;1250374;ZH;261;2021;3;März;aw402;Dienstag;9;09h-10h;;;
4;C042EF4209FA2323E053DDB9D80A823A;at5;Überqueren der Fahrbahn;Accident when crossing the lane(s);crossing lanes;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2681577;1247164;ZH;261;2021;3;März;aw402;Dienstag;10;10h-11h;;;
